__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATE_CREATED,DT_CHANGED,STOKA_CHANGED,GRUPA,STOKA,CODE,BARCODE,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,RAZFAS1,RAZFAS2,RELATOR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,DDS_DEF,PROPS,NOTE,IS_SER_NO,MIN_KOLICH,MAX_KOLICH,WARRANTY,DOSTAW,INTRASTAT,COUNTRY,TEGLO,TREND,FOTO,FOTO2,FOTO3,THUMBNAIL,THUMBNAIL2,THUMBNAIL3,ASSOC,IS_ACTIVE,ACC_TIP,EEO_NO,EEO_TEGLO,WEB_IS_FOTO_CHANGED,CAT_ID,BONUS_ADD,BONUS_SUB,IS_ACTIVE_WEB,IS_ACTIVE_PARENT,IS_ACTIVE_WEB_PARENT,IS_VALID_EAN13,ITEM_ID,DT_CHANGED_FOTO,FOLLOW_NUM,WEB_PRODUCT_NAME,WEB_PRODUCT_NOTE,WEB_PRODUCT_NAME_EN,WEB_PRODUCT_NOTE_EN,WEB_PRODUCT_NAME2,WEB_PRODUCT_NAME2_EN,NOTE2,RAZFAS_STEP,WEB_MIN_KOLICH,KOLICH_STEP,KOLICH_STEP_DOST,NOTE_FG_COLOR,SIZE_X,SIZE_Y,SIZE_Z,WIN_MIN_KOLICH,FISCAL_RISK
1688,15,1,2025-08-06 14:31:22.349,1318837236,2026-06-17 15:28:35.520,М8,Болт с шест.гл. 8.8 vZn М8х20,00933 8801 8 20,00001248,M,L,L,бр.,,,0.035789999999999995,0.0,0.0,,|1—болт цинк|2—М8х20|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,34,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,240,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,17,1,2025-08-06 14:31:22.360,1319260131,2026-07-10 09:55:53.330,М8,Болт с шест.гл. 8.8 vZn М8х16,00933 8801 8 16,00001247,M,L,L,бр.,,,0.03,0.0,0.0,,|1—болт цинк|2—М8х16|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,65,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,241,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,19,1,2025-08-06 14:31:22.374,1319260124,2026-07-10 09:55:18.219,М8,Гайка шест. 8 vZn М8,00934 8001 8,00001268,M,L,L,бр.,,,0.01,0.0,0.0,,|1—гайка цинк|2—М8|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,506,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,242,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,21,1,2025-08-06 14:31:22.382,1321241325,2026-06-17 15:36:43.947,М8,Шайба подложна vZn М8,00125 0001 8,00001502,M,L,L,бр.,,,0.01,0.0,0.0,,|1—шайба цинк|2—М8|,,N,50.0,50.0,,ИТТ БЪЛГАРИЯ ЕООД,112,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,243,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1688,23,1,2025-08-06 14:31:22.394,1318837307,2026-07-10 09:55:21.829,М8,Шайба с широка периферия vZn М8,09021 0001 8,00001509,M,L,L,бр.,,,0.0164,0.0,0.0,,|1—широка шайба цинк|2—М8|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,184,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,244,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1689,0,1,2025-08-06 14:31:22.403,1318841150,2026-07-10 09:55:25.532,М8,Шайба пружинна vZn М8,00127 0021 8,00001468,M,L,L,бр.,,,0.01,0.0,0.0,,|1—федер шайба цинк|2—М8|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,188,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,245,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1689,1,1,2025-08-06 14:42:59.381,1320962427,2026-06-16 13:30:08.978,Машини,Машина за полиране Bosch GPO14CE,,00000729,M,L,L,бр.,,,0.0,0.0,0.0,,|1—Машина за полиране|3—Bosch|4—GPO14CE|5—производствен цех|,,Y,1.0,2.0,,,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,266,,0.0,,,,,,,328055617,,,,,0,0.0,0.0,0.0,,N
1689,3,1,2025-08-06 14:31:22.423,1320962427,2026-06-16 14:08:35.823,М5,Винт с лещ.гл. 4.8 vZn М5х25,07985 4801 5 25,00001333,M,L,L,бр.,,,0.0,0.0,0.0,,|1—кръстат винт цинк|2—М5х25|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,465,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,247,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1689,5,1,2025-08-06 14:31:22.431,1320962427,2026-06-16 14:08:35.823,М5,Винт с лещ.гл. 4.8 vZn М5х20,07985 4801 5 20,00001331,M,L,L,бр.,,,0.0,0.0,0.0,,|1—кръстат винт цинк|2—М5х20|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,497,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,248,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1689,7,1,2025-08-06 14:31:22.439,1323440917,2026-06-16 14:08:35.823,М5,Винт с лещ.гл. 4.8 vZn М5х16,09785 4801 5 16,00001330,M,L,L,бр.,,,0.0,0.0,0.0,,|1—кръстат винт цинк|2—М5х16|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,480,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,249,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1689,9,1,2025-08-06 14:31:22.447,1320962427,2026-06-16 14:08:35.823,М5,Винт с лещ.гл. 4.8 vZn М5х12,07985 4801 5 12,00001332,M,L,L,бр.,,,0.0,0.0,0.0,,|1—кръстат винт цинк|2—М5х12|,,N,1.0,2.0,,ИТТ БЪЛГАРИЯ ЕООД,500,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,250,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
