__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,POS,IS_FACTUR,SKLAD,GRUPA,STOKA,SER_NO,KOLICH,KOLICH2,PAY_KOLICH,PAY_KOLICH2,BACK_KOLICH,BACK_KOLICH2,REV_KOLICH,REV_KOLICH2,BACK_T_KOLICH,BACK_T_KOLICH2,REAL_KOLICH,REAL_KOLICH2,KOLICH_CHECK,KONSIGNACIA,KB_ID,CENA_LIST,CENA_LIST_TYPE,ENDDATE,DDS,CENA,VALUTA,DISCOUNT,DISCOUNT2,IS_REL_DISCOUNT,WARRANTY,KUP_CENA,KUP_VALUTA,P_DATETIME,P_NUM,RP_USD,RP_DM,RP_LV,RP_1,RP_2,RP_3,RP_4,RP_5,R_CENA,R_CENADDS,R_VALUTA,D_EDCENA,D_VALUTA,DR_CENA,DR_VALUTA,CD_ROW_DUTY,CD_SELL_KOLICH,PRODUCT_TAX,O_DATETIME,O_NUM,NOTE,PROPS_ROW,WMS_KOLICH,I_DATETIME,I_NUM,I_SMETKA
5680,16,5,49596078,11,11,Y,Склад,Газ анализ - Сензори,"Дебитомер Н2 Plexiglass, 0,02-0,5",E250569/11,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,585.9,M,0.865900443798487,0.0,N,,385.31,L,0,0,0.0,585.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,195.3,M,0.0,L,0.0,0.0,0.0,0,0,,,3.0,,,
5740,1,5,49596078,6,6,Y,Склад,Газ анализ - Крепежи,Cable gland 3/4` NPT PG 16 with OR modular,E250569/13,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,52.44,M,-0.0,0.0,N,,8.74,M,0,0,0.0,52.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,8.74,M,0.0,L,0.0,0.0,0.0,0,0,,,6.0,,,
5740,2,5,49596078,7,7,Y,Склад,Газ анализ - Крепежи,Cable gland 1/2` NPT PG 13.5 with OR modular,E250569/14,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,104.88,M,-0.0,0.0,N,,8.74,M,0,0,0.0,104.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,8.74,M,0.0,L,0.0,0.0,0.0,0,0,,,12.0,,,
5740,3,5,49596078,8,8,Y,Склад,Газ анализ - Арматури,Flowmeter and needle valve bracket - крепеж,E250569/12,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,58.62,M,-0.0,0.0,N,,9.77,M,0,0,0.0,58.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,9.77,M,0.0,L,0.0,0.0,0.0,0,0,,,6.0,,,
5740,4,5,49596078,9,9,Y,Склад,Газ анализ - Сензори,Electrochemical sensor,05G034461,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,269.5,M,-0.0,0.0,N,,269.5,M,0,0,0.0,269.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,269.5,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5740,5,5,49596078,10,10,Y,Склад,Газ анализ - Сензори,Electronic assembly for OxyTrend - рез. платка,E250569-B,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,692.3,M,-0.0,0.0,N,,692.3,M,0,0,0.0,692.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,692.3,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5740,6,5,49596078,12,12,Y,Склад,Газ анализ - Сензори,"Дебитомер О2 Plexiglass, Scale 0,2-3",E250569/10,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,585.9,M,7.00355480352534,0.0,N,,410.74,L,0,0,0.0,585.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,195.3,M,0.0,L,0.0,0.0,0.0,0,0,,,3.0,,,
5740,7,5,49596078,13,1,Y,Склад,Газ анализ - Сензори,Анализатор на общозапалими вещества Sirius 8866,E250569/222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,3033.6,M,-0.0,0.0,N,,3033.6,M,0,0,0.0,3033.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,3033.6,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5740,8,5,49596078,14,2,Y,Склад,Газ анализ - Сензори,Електрохимичен кислороден анализатор OxyTrend E2,E250569/2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,1643.500802,M,-0.0,0.0,N,,1643.500802,M,0,0,0.0,1643.500802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1643.500802,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
5740,9,5,49596078,15,2,Y,Склад,Газ анализ - Сензори,Електрохимичен кислороден анализатор OxyTrend E2,E250569/3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N,0,Доставни цени,N,2025-10-09 08:12:32.000,0.0,1643.500802,M,-0.0,0.0,N,,1643.500802,M,0,0,0.0,1643.500802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,1643.500802,M,0.0,L,0.0,0.0,0.0,0,0,,,1.0,,,
